time,lat,lon,spei,doy
2000-01-16,54.25,13.25,-0.06784107,16
2000-01-16,54.25,13.75,-0.24521771,16
2000-01-16,54.25,14.75,0.04164411,16
2000-01-16,54.75,8.75,-0.56243294,16
2000-01-16,54.75,9.25,-0.5990999,16
2000-01-16,54.75,9.75,-0.61531866,16
2000-01-16,54.75,10.25,-0.630358,16
2000-01-16,54.75,10.75,-0.68274605,16
2000-01-16,54.75,11.25,-0.72011214,16
2000-01-16,54.75,11.75,-0.52606505,16
2000-01-16,54.75,12.25,-0.5274047,16
2000-01-16,54.75,13.25,-0.6464847,16
2000-01-16,54.75,13.75,-0.58715546,16
2000-02-15,47.25,5.75,1.3304884,46
2000-02-15,47.25,6.25,1.4899572,46
2000-02-15,47.25,6.75,1.5538969,46
2000-02-15,47.25,7.25,1.514482,46
2000-02-15,47.25,7.75,1.4056765,46
2000-02-15,47.25,8.25,1.4940021,46
2000-02-15,47.25,8.75,1.3073258,46
2000-02-15,47.25,9.25,1.2389541,46
2000-02-15,47.25,9.75,1.2814109,46
2000-02-15,47.25,10.25,1.1926584,46
2000-02-15,47.25,10.75,0.9636856,46
2000-02-15,47.25,11.25,0.75692606,46
2000-02-15,47.25,11.75,0.74914366,46
2000-02-15,47.25,12.25,0.7652495,46
2000-02-15,47.25,12.75,0.7921995,46
2000-02-15,47.25,13.25,0.7083206,46
2000-02-15,47.25,13.75,0.4493378,46
2000-02-15,47.25,14.25,-0.627765,46
2000-02-15,47.25,14.75,-1.065244,46
2000-02-15,47.75,5.75,1.3418562,46
2000-02-15,47.75,6.25,1.4104654,46
2000-02-15,47.75,6.75,1.4857943,46
2000-02-15,47.75,7.25,1.4163115,46
2000-02-15,47.75,7.75,1.4138669,46
2000-02-15,47.75,8.25,1.4132471,46
2000-02-15,47.75,8.75,1.4545438,46
2000-02-15,47.75,9.25,1.3131547,46
2000-02-15,47.75,9.75,1.2601744,46
2000-02-15,47.75,10.25,1.2031946,46
2000-02-15,47.75,10.75,0.92461914,46
2000-02-15,47.75,11.25,0.93503326,46
2000-02-15,47.75,11.75,0.9254501,46
2000-02-15,47.75,12.25,0.8958995,46
2000-02-15,47.75,12.75,0.9585283,46
2000-02-15,47.75,13.25,0.83231646,46
2000-02-15,47.75,13.75,0.97610295,46
2000-02-15,47.75,14.25,0.74388856,46
2000-02-15,47.75,14.75,0.58611834,46
2000-02-15,48.25,5.75,1.2765496,46
2000-02-15,48.25,6.25,1.4185585,46
2000-02-15,48.25,6.75,1.4012744,46
2000-02-15,48.25,7.25,1.3761821,46
2000-02-15,48.25,7.75,1.3152537,46
2000-02-15,48.25,8.25,1.2621998,46
2000-02-15,48.25,8.75,1.3101352,46
2000-02-15,48.25,9.25,1.2608252,46
2000-02-15,48.25,9.75,1.0785974,46
2000-02-15,48.25,10.25,0.99781734,46
2000-02-15,48.25,10.75,1.0036336,46
2000-02-15,48.25,11.25,1.0166222,46
2000-02-15,48.25,11.75,1.0149207,46
2000-02-15,48.25,12.25,0.859553,46
2000-02-15,48.25,12.75,0.92908543,46
2000-02-15,48.25,13.25,0.8541523,46
2000-02-15,48.25,13.75,0.8729874,46
2000-02-15,48.25,14.25,0.7575299,46
2000-02-15,48.25,14.75,0.3576618,46
2000-02-15,48.75,5.75,1.131308,46
2000-02-15,48.75,6.25,1.2177874,46
2000-02-15,48.75,6.75,1.2470329,46
2000-02-15,48.75,7.25,1.1902012,46
2000-02-15,48.75,7.75,1.2018868,46
2000-02-15,48.75,8.25,1.1704069,46
2000-02-15,48.75,8.75,1.1307139,46
2000-02-15,48.75,9.25,1.150853,46
2000-02-15,48.75,9.75,1.0959036,46
2000-02-15,48.75,10.25,0.9807051,46
2000-02-15,48.75,10.75,0.868847,46
2000-02-15,48.75,11.25,0.8757289,46
2000-02-15,48.75,11.75,0.85914975,46
2000-02-15,48.75,12.25,0.81862706,46
2000-02-15,48.75,12.75,0.812963,46
2000-02-15,48.75,13.25,0.7621028,46
2000-02-15,48.75,13.75,0.5845143,46
2000-02-15,48.75,14.25,0.29877505,46
2000-02-15,48.75,14.75,0.043732155,46
2000-02-15,49.25,5.75,0.9271041,46
2000-02-15,49.25,6.25,0.9422302,46
2000-02-15,49.25,6.75,1.0198455,46
2000-02-15,49.25,7.25,1.0746008,46
2000-02-15,49.25,7.75,1.0105722,46
2000-02-15,49.25,8.25,0.9227103,46
2000-02-15,49.25,8.75,1.0041066,46
2000-02-15,49.25,9.25,0.9406748,46
2000-02-15,49.25,9.75,0.83737975,46
2000-02-15,49.25,10.25,0.92206174,46
2000-02-15,49.25,10.75,0.78722596,46
2000-02-15,49.25,11.25,0.78182316,46
2000-02-15,49.25,11.75,0.79197687,46
2000-02-15,49.25,12.25,0.6478028,46
2000-02-15,49.25,12.75,0.58552486,46
2000-02-15,49.25,13.25,0.7396803,46
2000-02-15,49.25,13.75,0.5336007,46
2000-02-15,49.25,14.25,-0.055708688,46
2000-02-15,49.25,14.75,-0.17870726,46
2000-02-15,49.75,5.75,1.0831918,46
2000-02-15,49.75,6.25,0.9603355,46
2000-02-15,49.75,6.75,1.1074133,46
2000-02-15,49.75,7.25,0.92370474,46
2000-02-15,49.75,7.75,0.9449368,46
2000-02-15,49.75,8.25,0.95783657,46
2000-02-15,49.75,8.75,0.83503246,46
2000-02-15,49.75,9.25,1.0066727,46
2000-02-15,49.75,9.75,0.9962802,46
2000-02-15,49.75,10.25,1.0437453,46
2000-02-15,49.75,10.75,1.0111227,46
2000-02-15,49.75,11.25,0.8703622,46
2000-02-15,49.75,11.75,0.8024271,46
2000-02-15,49.75,12.25,0.6507047,46
2000-02-15,49.75,12.75,0.55680054,46
2000-02-15,49.75,13.25,0.110759385,46
2000-02-15,49.75,13.75,0.28872374,46
2000-02-15,49.75,14.25,-0.1130465,46
2000-02-15,49.75,14.75,-0.263849,46
2000-02-15,50.25,5.75,1.1116947,46
2000-02-15,50.25,6.25,1.136202,46
2000-02-15,50.25,6.75,1.1277194,46
2000-02-15,50.25,7.25,1.0292264,46
2000-02-15,50.25,7.75,1.1314877,46
2000-02-15,50.25,8.25,1.0640963,46
2000-02-15,50.25,8.75,1.1995873,46
2000-02-15,50.25,9.25,1.0886045,46
2000-02-15,50.25,9.75,1.0851842,46
2000-02-15,50.25,10.25,1.0806308,46
2000-02-15,50.25,10.75,1.2520447,46
2000-02-15,50.25,11.25,1.230024,46
2000-02-15,50.25,11.75,1.2165682,46
2000-02-15,50.25,12.25,0.804871,46
2000-02-15,50.25,12.75,0.7910054,46
2000-02-15,50.25,13.25,0.58047056,46
2000-02-15,50.25,13.75,0.30858645,46
2000-02-15,50.25,14.25,-0.120013736,46
2000-02-15,50.25,14.75,0.18328482,46
2000-02-15,50.75,5.75,1.2296256,46
2000-02-15,50.75,6.25,1.2728713,46
2000-02-15,50.75,6.75,1.2057956,46
2000-02-15,50.75,7.25,1.064556,46
2000-02-15,50.75,7.75,1.165232,46
2000-02-15,50.75,8.25,1.1427498,46
2000-02-15,50.75,8.75,1.2508739,46
2000-02-15,50.75,9.25,1.1817175,46
2000-02-15,50.75,9.75,1.2506951,46
2000-02-15,50.75,10.25,1.2547319,46
2000-02-15,50.75,10.75,1.3350148,46
2000-02-15,50.75,11.25,1.2429779,46
2000-02-15,50.75,11.75,1.2408992,46
2000-02-15,50.75,12.25,1.0016738,46
2000-02-15,50.75,12.75,1.0432924,46
2000-02-15,50.75,13.25,1.0820918,46
2000-02-15,50.75,13.75,0.84942573,46
2000-02-15,50.75,14.25,0.43257022,46
2000-02-15,50.75,14.75,0.4187502,46
2000-02-15,51.25,5.75,1.3714839,46
2000-02-15,51.25,6.25,1.3446906,46
2000-02-15,51.25,6.75,1.2314305,46
2000-02-15,51.25,7.25,1.195154,46
2000-02-15,51.25,7.75,1.1683918,46
2000-02-15,51.25,8.25,1.2517433,46
2000-02-15,51.25,8.75,1.3800082,46
2000-02-15,51.25,9.25,1.4267418,46
2000-02-15,51.25,9.75,1.3966386,46
2000-02-15,51.25,10.25,1.3745021,46
2000-02-15,51.25,10.75,1.2944256,46
2000-02-15,51.25,11.25,1.2458533,46
2000-02-15,51.25,11.75,1.2129561,46
2000-02-15,51.25,12.25,0.9480175,46
2000-02-15,51.25,12.75,1.1044657,46
2000-02-15,51.25,13.25,0.9047993,46
2000-02-15,51.25,13.75,0.5193606,46
2000-02-15,51.25,14.25,0.6356633,46
2000-02-15,51.25,14.75,0.62064123,46
2000-02-15,51.75,5.75,1.424972,46
2000-02-15,51.75,6.25,1.4017161,46
2000-02-15,51.75,6.75,1.3642533,46
2000-02-15,51.75,7.25,1.2294586,46
2000-02-15,51.75,7.75,1.3323578,46
2000-02-15,51.75,8.25,1.2639474,46
2000-02-15,51.75,8.75,1.4605422,46
2000-02-15,51.75,9.25,1.473157,46
2000-02-15,51.75,9.75,1.5009618,46
2000-02-15,51.75,10.25,1.3652021,46
2000-02-15,51.75,10.75,1.2714347,46
2000-02-15,51.75,11.25,1.1895639,46
2000-02-15,51.75,11.75,1.2366469,46
2000-02-15,51.75,12.25,1.0692343,46
2000-02-15,51.75,12.75,1.2734326,46
2000-02-15,51.75,13.25,0.8680967,46
2000-02-15,51.75,13.75,0.9611857,46
2000-02-15,51.75,14.25,0.7990825,46
2000-02-15,51.75,14.75,0.46563622,46
2000-02-15,52.25,5.75,1.38715,46
2000-02-15,52.25,6.25,1.3384995,46
2000-02-15,52.25,6.75,1.361996,46
2000-02-15,52.25,7.25,1.2403376,46
2000-02-15,52.25,7.75,1.3267105,46
2000-02-15,52.25,8.25,1.4014423,46
2000-02-15,52.25,8.75,1.5298427,46
2000-02-15,52.25,9.25,1.4695014,46
2000-02-15,52.25,9.75,1.4493407,46
2000-02-15,52.25,10.25,1.2826747,46
2000-02-15,52.25,10.75,1.2071359,46
2000-02-15,52.25,11.25,1.2283623,46
2000-02-15,52.25,11.75,1.0239518,46
2000-02-15,52.25,12.25,1.0541227,46
2000-02-15,52.25,12.75,1.17216,46
2000-02-15,52.25,13.25,1.2542078,46
2000-02-15,52.25,13.75,1.1277463,46
2000-02-15,52.25,14.25,0.99936813,46
2000-02-15,52.25,14.75,0.6213058,46
2000-02-15,52.75,5.75,1.3096151,46
2000-02-15,52.75,6.25,1.3852626,46
2000-02-15,52.75,6.75,1.3988488,46
2000-02-15,52.75,7.25,1.3956026,46
2000-02-15,52.75,7.75,1.4570392,46
2000-02-15,52.75,8.25,1.3653597,46
2000-02-15,52.75,8.75,1.4089924,46
2000-02-15,52.75,9.25,1.4360248,46
2000-02-15,52.75,9.75,1.4056343,46
2000-02-15,52.75,10.25,1.2041633,46
2000-02-15,52.75,10.75,1.2912608,46
2000-02-15,52.75,11.25,1.1631583,46
2000-02-15,52.75,11.75,1.1964895,46
2000-02-15,52.75,12.25,0.96353537,46
2000-02-15,52.75,12.75,0.9321029,46
2000-02-15,52.75,13.25,0.8397257,46
2000-02-15,52.75,13.75,0.9862095,46
2000-02-15,52.75,14.25,0.7071212,46
2000-02-15,52.75,14.75,0.9620715,46
2000-02-15,53.25,5.75,1.3742431,46
2000-02-15,53.25,6.25,1.4099122,46
2000-02-15,53.25,6.75,1.3299745,46
2000-02-15,53.25,7.25,1.402359,46
2000-02-15,53.25,7.75,1.3319372,46
2000-02-15,53.25,8.25,1.330795,46
2000-02-15,53.25,8.75,1.2653345,46
2000-02-15,53.25,9.25,1.4241518,46
2000-02-15,53.25,9.75,1.24963,46
2000-02-15,53.25,10.25,1.2671702,46
2000-02-15,53.25,10.75,1.2428453,46
2000-02-15,53.25,11.25,1.2417527,46
2000-02-15,53.25,11.75,1.005748,46
2000-02-15,53.25,12.25,1.1264242,46
2000-02-15,53.25,12.75,1.0037885,46
2000-02-15,53.25,13.25,0.93754494,46
2000-02-15,53.25,13.75,0.8082772,46
2000-02-15,53.25,14.25,0.88612014,46
2000-02-15,53.25,14.75,0.86396307,46
2000-02-15,53.75,7.25,1.3998636,46
2000-02-15,53.75,7.75,1.3248786,46
2000-02-15,53.75,8.25,1.2544898,46
2000-02-15,53.75,8.75,1.1391677,46
2000-02-15,53.75,9.25,1.080447,46
2000-02-15,53.75,9.75,1.0983831,46
2000-02-15,53.75,10.25,1.033482,46
2000-02-15,53.75,10.75,0.8595551,46
2000-02-15,53.75,11.25,0.9434775,46
2000-02-15,53.75,11.75,0.9341821,46
2000-02-15,53.75,12.25,0.7762771,46
2000-02-15,53.75,12.75,0.6957969,46
2000-02-15,53.75,13.25,0.7618275,46
2000-02-15,53.75,13.75,0.87902117,46
2000-02-15,53.75,14.25,1.0601542,46
2000-02-15,53.75,14.75,0.83379585,46
2000-02-15,54.25,8.75,1.232871,46
2000-02-15,54.25,9.25,1.0799464,46
2000-02-15,54.25,9.75,1.0887674,46
2000-02-15,54.25,10.25,0.98423827,46
2000-02-15,54.25,10.75,0.86903894,46
2000-02-15,54.25,11.25,0.7289883,46
2000-02-15,54.25,11.75,0.7097002,46
2000-02-15,54.25,12.25,0.59588337,46
2000-02-15,54.25,12.75,0.49024874,46
2000-02-15,54.25,13.25,0.44586262,46
2000-02-15,54.25,13.75,0.5107673,46
2000-02-15,54.25,14.75,0.7497147,46
2000-02-15,54.75,8.75,1.1807673,46
2000-02-15,54.75,9.25,1.0274093,46
2000-02-15,54.75,9.75,0.9767497,46
2000-02-15,54.75,10.25,0.7927731,46
2000-02-15,54.75,10.75,0.64982957,46
2000-02-15,54.75,11.25,0.77933514,46
2000-02-15,54.75,11.75,0.44141132,46
2000-02-15,54.75,12.25,0.44142985,46
2000-02-15,54.75,13.25,0.121664874,46
2000-02-15,54.75,13.75,0.17919628,46
2000-03-16,47.25,5.75,-0.5126505,76
2000-03-16,47.25,6.25,-0.54685783,76
2000-03-16,47.25,6.75,-0.59882045,76
2000-03-16,47.25,7.25,-0.5152896,76
2000-03-16,47.25,7.75,-0.2113005,76
2000-03-16,47.25,8.25,0.43104017,76
2000-03-16,47.25,8.75,1.3637753,76
2000-03-16,47.25,9.25,1.5614653,76
2000-03-16,47.25,9.75,1.6346809,76
2000-03-16,47.25,10.25,1.7299323,76
2000-03-16,47.25,10.75,1.6149831,76
2000-03-16,47.25,11.25,1.913537,76
2000-03-16,47.25,11.75,1.9973513,76
2000-03-16,47.25,12.25,2.3424225,76
2000-03-16,47.25,12.75,2.355742,76
2000-03-16,47.25,13.25,2.2833753,76
2000-03-16,47.25,13.75,1.9789329,76
2000-03-16,47.25,14.25,1.7429044,76
2000-03-16,47.25,14.75,0.84866124,76
2000-03-16,47.75,5.75,-0.36532134,76
2000-03-16,47.75,6.25,-0.4120991,76
2000-03-16,47.75,6.75,-0.51466334,76
2000-03-16,47.75,7.25,-0.23150314,76
2000-03-16,47.75,7.75,-0.19031867,76
2000-03-16,47.75,8.25,0.4353733,76
2000-03-16,47.75,8.75,1.1898477,76
2000-03-16,47.75,9.25,1.5716482,76
2000-03-16,47.75,9.75,1.7782369,76
